VENCIMENT;STATUS                      ;TIPO    ;QUANTIDADE
05-FEB-23;Processado com suscesso     ;E-MAIL  ;      1174
05-FEB-23;Processado com suscesso     ;E-MAIL  ;       705
05-FEB-23;Em Processamento            ;WHATSAPP;        28
05-FEB-23;Processado com suscesso     ;E-MAIL  ;       369
05-FEB-23;Em Processamento            ;WHATSAPP;         6
05-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
05-FEB-23;Download da Fatura Realizado;WHATSAPP;        14
05-FEB-23;Download da Fatura Realizado;WHATSAPP;         3
06-FEB-23;Aguardando Fatura           ;E-MAIL  ;        11
06-FEB-23;Em Processamento            ;E-MAIL  ;        21
06-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;        48
06-FEB-23;Processado com suscesso     ;E-MAIL  ;       110
06-FEB-23;Processado com suscesso     ;E-MAIL  ;         2
06-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
06-FEB-23;Processado com suscesso     ;E-MAIL  ;       150
06-FEB-23;Em Processamento            ;WHATSAPP;         1
06-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
07-FEB-23;Processado com suscesso     ;WHATSAPP;      7452
07-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;        38
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;       986
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;       135
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;        23
07-FEB-23;Em Processamento            ;WHATSAPP;         5
07-FEB-23;Em Processamento            ;WHATSAPP;         1
07-FEB-23;Processado com suscesso     ;WHATSAPP;        38
07-FEB-23;Em Processamento            ;WHATSAPP;         1
07-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
07-FEB-23;Processado com suscesso     ;E-MAIL  ;        11
07-FEB-23;Processado com suscesso     ;E-MAIL  ;        15
07-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
07-FEB-23;Download da Fatura Realizado;E-MAIL  ;         1
07-FEB-23;Processado com suscesso     ;E-MAIL  ;         4
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;        55
08-FEB-23;Em Processamento            ;WHATSAPP;         1
08-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         8
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;        38
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;      3236
08-FEB-23;Aguardando Processamento    ;WHATSAPP;        44
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;        60
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;        74
08-FEB-23;Em Processamento            ;WHATSAPP;        12
08-FEB-23;Processado com suscesso     ;E-MAIL  ;         8
09-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
26-JAN-23;Processado com suscesso     ;E-MAIL  ;     62264
26-JAN-23;Download da Fatura Realizado;E-MAIL  ;        20
26-JAN-23;Em Processamento            ;WHATSAPP;         1
26-JAN-23;Em Processamento            ;WHATSAPP;         8
27-JAN-23;Em Processamento            ;WHATSAPP;         4
27-JAN-23;Em Processamento            ;WHATSAPP;         1
27-JAN-23;Processado com suscesso     ;E-MAIL  ;         5
27-JAN-23;Processado com suscesso     ;E-MAIL  ;        12
27-JAN-23;Processado com suscesso     ;E-MAIL  ;         7
27-JAN-23;Em Processamento            ;WHATSAPP;         7
27-JAN-23;Em Processamento            ;WHATSAPP;         3
28-JAN-23;Processado com suscesso     ;E-MAIL  ;         1
28-JAN-23;Processado com suscesso     ;E-MAIL  ;         1
29-JAN-23;Em Processamento            ;WHATSAPP;         1
30-JAN-23;Em Processamento            ;WHATSAPP;      1460
30-JAN-23;Em Processamento            ;WHATSAPP;      1234
30-JAN-23;Processado com suscesso     ;E-MAIL  ;      2805
30-JAN-23;Aguardando Fatura           ;E-MAIL  ;         3
30-JAN-23;Aguardando Fatura           ;E-MAIL  ;         2
30-JAN-23;Processado com suscesso     ;E-MAIL  ;        20
30-JAN-23;Em Processamento            ;WHATSAPP;        13
30-JAN-23;Aguardando Fatura           ;E-MAIL  ;        15
31-JAN-23;Processado com suscesso     ;WHATSAPP;         2
01-FEB-23;Processado com suscesso     ;E-MAIL  ;      1124
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       507
01-FEB-23;Em Processamento            ;WHATSAPP;         6
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        29
01-FEB-23;Processado com suscesso     ;E-MAIL  ;         3
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
01-FEB-23;Em Processamento            ;WHATSAPP;         4
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       167
01-FEB-23;Processado com suscesso     ;WHATSAPP;        48
01-FEB-23;Processado com suscesso     ;WHATSAPP;       619
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       409
01-FEB-23;Processado com suscesso     ;E-MAIL  ;      1587
01-FEB-23;Processado com suscesso     ;WHATSAPP;        32
01-FEB-23;Processado com suscesso     ;WHATSAPP;        23
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        23
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        27
01-FEB-23;Processado com suscesso     ;WHATSAPP;        71
01-FEB-23;Download da Fatura Realizado;WHATSAPP;        32
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         2
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       107
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         2
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        55
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       104
01-FEB-23;Processado com suscesso     ;WHATSAPP;       137
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        10
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         3
01-FEB-23;Processado com suscesso     ;WHATSAPP;         6
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         4
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
01-FEB-23;Processado com suscesso     ;WHATSAPP;        39
01-FEB-23;Processado com suscesso     ;WHATSAPP;        14
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        31
01-FEB-23;Download da Fatura Realizado;WHATSAPP;      3350
01-FEB-23;Em Processamento            ;WHATSAPP;        26
01-FEB-23;Processado com suscesso     ;WHATSAPP;         9
01-FEB-23;Processado com suscesso     ;WHATSAPP;        10
01-FEB-23;Em Processamento            ;WHATSAPP;        11
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         3
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        15
02-FEB-23;Processado com suscesso     ;E-MAIL  ;         3
02-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
02-FEB-23;Download da Fatura Realizado;E-MAIL  ;        59
02-FEB-23;Download da Fatura Realizado;WHATSAPP;         3
02-FEB-23;Processado com suscesso     ;WHATSAPP;       166
02-FEB-23;Em Processamento            ;WHATSAPP;         1
02-FEB-23;Download da Fatura Realizado;WHATSAPP;        10
02-FEB-23;Em Processamento            ;WHATSAPP;         4
03-FEB-23;Aguardando Fatura           ;E-MAIL  ;        61
03-FEB-23;Processado com suscesso     ;E-MAIL  ;         3
03-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
03-FEB-23;Processado com suscesso     ;WHATSAPP;         1
03-FEB-23;Processado com suscesso     ;E-MAIL  ;       103
03-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
03-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
04-FEB-23;Download da Fatura Realizado;WHATSAPP;      2896
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;        80
04-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;      2553
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;        22
04-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         3
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;         2
04-FEB-23;Processado com suscesso     ;E-MAIL  ;        12
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;         7
04-FEB-23;Processado com suscesso     ;E-MAIL  ;         2
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;        36
04-FEB-23;Download da Fatura Realizado;WHATSAPP;        37
04-FEB-23;Processado com suscesso     ;E-MAIL  ;       101
04-FEB-23;Processado com suscesso     ;E-MAIL  ;        27
04-FEB-23;Em Processamento            ;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;WHATSAPP;        21
04-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
05-FEB-23;Em Processamento            ;WHATSAPP;         1
05-FEB-23;Processado com suscesso     ;E-MAIL  ;        12
05-FEB-23;Aguardando Fatura           ;E-MAIL  ;        10
05-FEB-23;Processado com suscesso     ;WHATSAPP;         2
05-FEB-23;Processado com suscesso     ;E-MAIL  ;       229
05-FEB-23;Em Processamento            ;WHATSAPP;        15
05-FEB-23;Aguardando Fatura           ;E-MAIL  ;        23
05-FEB-23;Processado com suscesso     ;E-MAIL  ;        36
05-FEB-23;Processado com suscesso     ;E-MAIL  ;        66
05-FEB-23;Processado com suscesso     ;WHATSAPP;        68
05-FEB-23;Processado com suscesso     ;WHATSAPP;        45
05-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
05-FEB-23;Em Processamento            ;WHATSAPP;         1
05-FEB-23;Processado com suscesso     ;WHATSAPP;         1
06-FEB-23;Processado com suscesso     ;E-MAIL  ;    137232
06-FEB-23;Processado com suscesso     ;E-MAIL  ;         9
06-FEB-23;Em Processamento            ;WHATSAPP;         2
07-FEB-23;Processado com suscesso     ;E-MAIL  ;        17
07-FEB-23;Download da Fatura Realizado;WHATSAPP;      7130
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;       469
07-FEB-23;Em Processamento            ;WHATSAPP;        19
07-FEB-23;Em Processamento            ;WHATSAPP;       377
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;         3
07-FEB-23;Em Processamento            ;WHATSAPP;        11
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;        10
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;       250
07-FEB-23;Em Processamento            ;WHATSAPP;         1
07-FEB-23;Processado com suscesso     ;E-MAIL  ;       180
07-FEB-23;Processado com suscesso     ;WHATSAPP;         2
07-FEB-23;Processado com suscesso     ;WHATSAPP;         1
07-FEB-23;Em Processamento            ;WHATSAPP;         1
07-FEB-23;Processado com suscesso     ;WHATSAPP;         1
07-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;       227
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;         4
08-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         2
08-FEB-23;Em Processamento            ;WHATSAPP;      1010
09-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         2
09-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
09-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
26-JAN-23;Em Processamento            ;WHATSAPP;      3351
26-JAN-23;Processado com suscesso     ;WHATSAPP;         1
27-JAN-23;Processado com suscesso     ;E-MAIL  ;         1
27-JAN-23;Processado com suscesso     ;E-MAIL  ;         7
27-JAN-23;Processado com suscesso     ;E-MAIL  ;         5
27-JAN-23;Processado com suscesso     ;E-MAIL  ;         2
29-JAN-23;Em Processamento            ;WHATSAPP;         1
29-JAN-23;Processado com suscesso     ;E-MAIL  ;         1
29-JAN-23;Processado com suscesso     ;E-MAIL  ;         1
30-JAN-23;Em Processamento            ;WHATSAPP;       252
30-JAN-23;Processado com suscesso     ;E-MAIL  ;      1048
30-JAN-23;Aguardando Fatura           ;E-MAIL  ;         5
30-JAN-23;Processado com suscesso     ;E-MAIL  ;       815
30-JAN-23;Em Processamento            ;WHATSAPP;      1651
31-JAN-23;Aguardando Fatura Resumida  ;WHATSAPP;         4
31-JAN-23;Processado com suscesso     ;E-MAIL  ;         3
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         5
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       188
01-FEB-23;Processado com suscesso     ;WHATSAPP;       158
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        17
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         3
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         9
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        12
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         5
01-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;         2
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        71
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        18
01-FEB-23;Processado com suscesso     ;WHATSAPP;         4
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         6
01-FEB-23;Processado com suscesso     ;WHATSAPP;        37
01-FEB-23;Em Processamento            ;WHATSAPP;        14
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       283
01-FEB-23;Processado com suscesso     ;WHATSAPP;       547
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        26
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        65
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       566
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        72
01-FEB-23;Processado com suscesso     ;WHATSAPP;        23
01-FEB-23;Processado com suscesso     ;E-MAIL  ;      1798
01-FEB-23;Processado com suscesso     ;WHATSAPP;       581
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        27
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         4
01-FEB-23;Processado com suscesso     ;WHATSAPP;        40
01-FEB-23;Processado com suscesso     ;WHATSAPP;        34
01-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
01-FEB-23;Processado com suscesso     ;WHATSAPP;         3
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         2
01-FEB-23;Processado com suscesso     ;WHATSAPP;        33
01-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;        14
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        47
01-FEB-23;Processado com suscesso     ;E-MAIL  ;      1521
01-FEB-23;Em Processamento            ;WHATSAPP;         2
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         1
02-FEB-23;Em Processamento            ;E-MAIL  ;        46
02-FEB-23;Aguardando Fatura           ;E-MAIL  ;         2
02-FEB-23;Processado com suscesso     ;WHATSAPP;       117
02-FEB-23;Aguardando Fatura           ;E-MAIL  ;        10
02-FEB-23;Processado com suscesso     ;E-MAIL  ;         7
02-FEB-23;Aguardando Fatura           ;E-MAIL  ;         2
02-FEB-23;Processado com suscesso     ;E-MAIL  ;        51
03-FEB-23;Download da Fatura Realizado;E-MAIL  ;         6
03-FEB-23;Processado com suscesso     ;WHATSAPP;         3
03-FEB-23;Aguardando Fatura           ;E-MAIL  ;        15
03-FEB-23;Processado com suscesso     ;E-MAIL  ;         2
03-FEB-23;Processado com suscesso     ;WHATSAPP;        42
03-FEB-23;Processado com suscesso     ;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;E-MAIL  ;      2642
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;        40
04-FEB-23;Processado com suscesso     ;E-MAIL  ;       741
04-FEB-23;Processado com suscesso     ;E-MAIL  ;       326
04-FEB-23;Aguardando Fatura           ;E-MAIL  ;         9
04-FEB-23;Processado com suscesso     ;E-MAIL  ;       399
04-FEB-23;Processado com suscesso     ;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;WHATSAPP;         2
04-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
04-FEB-23;Processado com suscesso     ;E-MAIL  ;       187
04-FEB-23;Em Processamento            ;WHATSAPP;        26
04-FEB-23;Processado com suscesso     ;WHATSAPP;         3
04-FEB-23;Processado com suscesso     ;E-MAIL  ;        10
04-FEB-23;Processado com suscesso     ;WHATSAPP;        14
04-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
04-FEB-23;Processado com suscesso     ;WHATSAPP;         2
05-FEB-23;Processado com suscesso     ;E-MAIL  ;        43
05-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         5
05-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         2
05-FEB-23;Processado com suscesso     ;E-MAIL  ;       727
05-FEB-23;Processado com suscesso     ;E-MAIL  ;        62
05-FEB-23;Processado com suscesso     ;WHATSAPP;         1
05-FEB-23;Processado com suscesso     ;WHATSAPP;         2
05-FEB-23;Download da Fatura Realizado;WHATSAPP;        45
05-FEB-23;Aguardando Fatura           ;E-MAIL  ;        12
05-FEB-23;Download da Fatura Realizado;WHATSAPP;        27
05-FEB-23;Processado com suscesso     ;WHATSAPP;       112
05-FEB-23;Aguardando Fatura           ;E-MAIL  ;        29
05-FEB-23;Em Processamento            ;WHATSAPP;        11
05-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         3
05-FEB-23;Em Processamento            ;WHATSAPP;        10
06-FEB-23;Em Processamento            ;WHATSAPP;         1
06-FEB-23;Processado com suscesso     ;WHATSAPP;     81318
06-FEB-23;Download da Fatura Realizado;WHATSAPP;         1
06-FEB-23;Processado com suscesso     ;E-MAIL  ;      3221
06-FEB-23;Download da Fatura Realizado;WHATSAPP;        47
06-FEB-23;Processado com suscesso     ;WHATSAPP;       134
06-FEB-23;Aguardando Fatura           ;E-MAIL  ;         7
06-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
06-FEB-23;Processado com suscesso     ;WHATSAPP;         6
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;       674
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;        26
07-FEB-23;Em Processamento            ;WHATSAPP;         3
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;        10
07-FEB-23;Em Processamento            ;WHATSAPP;         4
07-FEB-23;Aguardando Fatura           ;E-MAIL  ;         7
07-FEB-23;Em Processamento            ;WHATSAPP;       961
07-FEB-23;Aguardando Processamento    ;WHATSAPP;        35
07-FEB-23;Aguardando Processamento    ;WHATSAPP;        11
07-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
07-FEB-23;Processado com suscesso     ;E-MAIL  ;        49
07-FEB-23;Processado com suscesso     ;WHATSAPP;         4
07-FEB-23;Em Processamento            ;WHATSAPP;         2
07-FEB-23;Em Processamento            ;WHATSAPP;         6
07-FEB-23;Processado com suscesso     ;WHATSAPP;         6
08-FEB-23;Aguardando Fatura           ;E-MAIL  ;       249
08-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
09-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
09-FEB-23;Aguardando Fatura Resumida  ;WHATSAPP;         1
26-JAN-23;Download da Fatura Realizado;WHATSAPP;      2418
27-JAN-23;Em Processamento            ;WHATSAPP;        14
27-JAN-23;Em Processamento            ;WHATSAPP;        21
27-JAN-23;Processado com suscesso     ;WHATSAPP;         5
28-JAN-23;Processado com suscesso     ;E-MAIL  ;         7
28-JAN-23;Em Processamento            ;WHATSAPP;         1
28-JAN-23;Aguardando Fatura           ;E-MAIL  ;        21
29-JAN-23;Processado com suscesso     ;E-MAIL  ;         1
29-JAN-23;Em Processamento            ;WHATSAPP;         1
29-JAN-23;Processado com suscesso     ;WHATSAPP;         1
30-JAN-23;Processado com suscesso     ;E-MAIL  ;         1
30-JAN-23;Processado com suscesso     ;E-MAIL  ;         2
30-JAN-23;Processado com suscesso     ;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       496
01-FEB-23;Download da Fatura Realizado;WHATSAPP;         9
01-FEB-23;Processado com suscesso     ;WHATSAPP;        17
01-FEB-23;Processado com suscesso     ;WHATSAPP;        13
01-FEB-23;Processado com suscesso     ;E-MAIL  ;         1
01-FEB-23;Processado com suscesso     ;WHATSAPP;       195
01-FEB-23;Processado com suscesso     ;E-MAIL  ;         9
01-FEB-23;Processado com suscesso     ;E-MAIL  ;       143
01-FEB-23;Processado com suscesso     ;E-MAIL  ;      2237
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;        34
01-FEB-23;Em Processamento            ;WHATSAPP;         4
01-FEB-23;Aguardando Fatura           ;E-MAIL  ;         2
01-FEB-23;Em Processamento            ;WHATSAPP;         1
01-FEB-23;Processado com suscesso     ;E-MAIL  ;        12
